iter	MAE	RMSE
0	12.1881008	17.27200801
1	11.64189064	16.57408026
2	11.11295513	15.88843395
3	10.6288554	15.27205909
4	10.18774565	14.68902395
5	9.729961747	14.10389196
6	9.291222676	13.51985357
7	8.893952109	13.00586592
8	8.505544594	12.48456561
9	8.129984062	12.00497245
10	7.785352668	11.55313972
11	7.450020628	11.1253741
12	7.123702186	10.69428975
13	6.80164324	10.26480735
14	6.507614264	9.869745374
15	6.21848248	9.485460936
16	5.943217774	9.119250081
17	5.6855725	8.778661928
18	5.448068424	8.466239998
19	5.218997318	8.150245358
20	5.002088927	7.855086848
21	4.798020471	7.56917302
22	4.595616481	7.295932865
23	4.399373404	7.035837963
24	4.225506847	6.805221344
25	4.048524704	6.568831
26	3.884251869	6.338772283
27	3.722302113	6.112942279
28	3.578836655	5.918135947
29	3.42036611	5.69865244
30	3.282167425	5.501226679
31	3.136649218	5.305184167
32	3.01319732	5.12818013
33	2.890435869	4.953400552
34	2.769901005	4.798976799
35	2.657546075	4.64511163
36	2.54627923	4.491860635
37	2.447343517	4.350261241
38	2.351937021	4.213417834
39	2.25231625	4.083179079
40	2.163776225	3.956999653
41	2.07557951	3.834332822
42	1.999235768	3.720051866
43	1.918080261	3.596969192
44	1.850567301	3.488241177
45	1.779835292	3.385024764
46	1.711444551	3.282512422
47	1.65508855	3.19814075
48	1.588981495	3.106274516
49	1.526821059	3.011566875
50	1.474582624	2.934399484
51	1.416811723	2.850109763
52	1.364870607	2.771775295
53	1.319224684	2.70038644
54	1.274593546	2.626518402
55	1.234515066	2.55897988
56	1.194383226	2.494960679
57	1.157498897	2.433565368
58	1.116292156	2.368828568
59	1.081984811	2.314546223
60	1.046736359	2.256164266
61	1.019052727	2.205919087
62	0.9890756571	2.151527227
63	0.9564414532	2.098113624
64	0.9320227597	2.055396549
65	0.9097495274	2.014860439
66	0.8805532869	1.965067485
67	0.8559005109	1.925437909
68	0.8343675722	1.884565438
69	0.8136158672	1.846675812
70	0.7957873105	1.814751433
71	0.7793578134	1.779561502
72	0.7646847636	1.746405092
73	0.7512020367	1.718979252
74	0.7354553832	1.687612367
75	0.7217606681	1.659630747
76	0.7067964856	1.629296927
77	0.6951260189	1.602220486
78	0.6823063822	1.574530467
79	0.6680166086	1.545673587
80	0.6560128195	1.519841518
81	0.6488977245	1.4977975
82	0.6438523344	1.477461247
83	0.6373231393	1.459114959
84	0.6313666903	1.438208282
85	0.6238408849	1.418777929
86	0.618059408	1.400361011
87	0.6075537844	1.379492976
88	0.6038043313	1.363225332
89	0.5944064756	1.345720605
90	0.5888667596	1.329849887
91	0.5849590046	1.313983314
92	0.5770370109	1.297556165
93	0.5752107168	1.287434244
94	0.5708211243	1.270288239
95	0.5629112118	1.254717979
96	0.5580409486	1.240850487
97	0.5511685023	1.226428259
